"id","time","topic","type","indicator","value","frequency","unit"
"BE21","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.50","monthly","mm"
"BE22","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.34","monthly","mm"
"BE22","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.49","monthly","mm"
"BE22","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.42","monthly","mm"
"BE23","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","0.90","monthly","mm"
"BE23","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.46","monthly","mm"
"BE23","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.14","monthly","mm"
"BE33","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.38","monthly","mm"
"BE33","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE33","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.68","monthly","mm"
"BE34","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.16","monthly","mm"
"BE34","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.77","monthly","mm"
"BE34","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.46","monthly","mm"
"BE35","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.23","monthly","mm"
"BE35","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.59","monthly","mm"
"BE35","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.40","monthly","mm"
"BE25","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","0.95","monthly","mm"
"BE25","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.22","monthly","mm"
"BE25","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.08","monthly","mm"
"BE31","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.14","monthly","mm"
