id,time,topic,type,indicator,value,frequency,unit
DE735,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.11,monthly,°C
DE736,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.11,monthly,°C
DE736,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.19,monthly,°C
DE736,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.94,monthly,°C
DE736,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.00,monthly,°C
DE737,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-10.11,monthly,°C
DE737,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-5.91,monthly,°C
DE737,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-7.46,monthly,°C
DE737,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-7.31,monthly,°C
DE803,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.21,monthly,°C
DE803,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.35,monthly,°C
DE803,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.18,monthly,°C
DE803,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.17,monthly,°C
DE804,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.79,monthly,°C
DE804,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-5.35,monthly,°C
DE804,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.04,monthly,°C
DE804,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.71,monthly,°C
DE80J,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.23,monthly,°C
DE80J,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.09,monthly,°C
DE80J,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.25,monthly,°C
DE80J,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.28,monthly,°C
DE80K,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.59,monthly,°C
DE80K,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.29,monthly,°C
DE80K,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.80,monthly,°C
DE80K,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.80,monthly,°C
DE933,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.97,monthly,°C
DE933,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.23,monthly,°C
DE933,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.98,monthly,°C
DE933,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.00,monthly,°C
DE934,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.87,monthly,°C
DE934,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.71,monthly,°C
DE934,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.77,monthly,°C
DE934,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.79,monthly,°C
DE935,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.47,monthly,°C
DE935,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.63,monthly,°C
DE935,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.74,monthly,°C
DE935,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.81,monthly,°C
DE80L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-7.11,monthly,°C
DE80L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.53,monthly,°C
DE80L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.59,monthly,°C
DE80L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.76,monthly,°C
DE80M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.29,monthly,°C
DE80M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.29,monthly,°C
DE80M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.95,monthly,°C
DE80M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.89,monthly,°C
DE80N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.55,monthly,°C
DE80N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.35,monthly,°C
DE80N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.24,monthly,°C
DE80N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.29,monthly,°C
DE80O,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-10.01,monthly,°C
DE80O,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.35,monthly,°C
DE80O,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.24,monthly,°C
DE80O,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.31,monthly,°C
DE911,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.35,monthly,°C
DE911,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.17,monthly,°C
DE911,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.16,monthly,°C
DE911,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.99,monthly,°C
DE912,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-5.07,monthly,°C
DE912,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.27,monthly,°C
DE912,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.39,monthly,°C
DE912,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.33,monthly,°C
DE913,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.27,monthly,°C
DE913,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.19,monthly,°C
DE913,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.67,monthly,°C
DE913,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.45,monthly,°C
DE914,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.31,monthly,°C
DE914,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.63,monthly,°C
DE914,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.70,monthly,°C
DE914,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.75,monthly,°C
DE916,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.31,monthly,°C
DE916,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.75,monthly,°C
DE916,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.97,monthly,°C
